Date,Title,Content
2024-07-03,Investor Concerns Over Mt.Gox's Bitcoin Distribution Could Increase Bearish Sentiment,"According to Odaily, QCP Capital has expressed in its market analysis that investors are worried about the potential market pressure that could be caused by the distribution of by Mt.Gox. This concern could potentially fuel a bearish sentiment in the market. QCP Capital stated, 'The release from Mt.Gox, which is expected to start this week, could continue to put pressure on the market with as many as 140,000 Bitcoins, especially since the exact release schedule is still unknown.' Previously, it was reported that Mt.Gox would distribute nearly $9 billion worth of 142,000 Bitcoins to its creditors between July and October. The uncertainty surrounding the exact timeline of this distribution is causing unease among investors, who fear that the sudden influx of such a large amount of Bitcoin into the market could lead to a significant drop in its value. This fear is contributing to a growing bearish sentiment in the market, which could potentially impact the overall performance of Bitcoin in the coming months."
2024-07-03,Biden's Presidential Race Withdrawal Odds Reach 55% on Polymarket,"According to CoinDesk, the probability of President Biden withdrawing from the presidential race has reached a record high of 55% on Polymarket. This surge in odds comes after former President Barack Obama privately expressed concerns about Biden's campaign and debate performance. The Washington Post reported that Obama, worried about Biden's reelection chances following a lackluster debate performance, has been privately advising and supporting him. Despite this, Obama continues to publicly express confidence in Biden's campaign. Bettors are uncertain about the timing of Biden's potential withdrawal. The market predicts a 42% chance that Biden will withdraw before the Democratic convention, scheduled for August 19. The Democratic party has reportedly prepared for the possibility of Biden's withdrawal, according to the New York Times. The process of securing a new nominee, however, would be complex. The most straightforward option would be to nominate Vice President Kamala Harris, Biden's running mate. The market, anticipating this as the path of least resistance, increased Harris' odds of becoming the Democratic nominee to 31% on Tuesday. Polymarket bettors assign a 13% chance of Harris winning the presidential election and a 16% chance to Biden. The general presidential election contract on Polymarket has seen more than $211 million in bets, with nearly $10 million wagered on the possibility of Biden dropping out."
2024-07-03,"Bitcoin(BTC) Drops Below 61,000 USDT with a 3.36% Decrease in 24 Hours","On Jul 03, 2024, 03:13 AM(UTC). According to Binance Market Data, has dropped below 61,000 USDT and is now trading at 60,918.351563 USDT, with a narrowed 3.36% decrease in 24 hours."
2024-07-03,Chainlink Collaborates With Fidelity International And Sygnum To Enhance Transparency In Tokenized Assets,"According to Odaily, Chainlink has announced a collaboration with Fidelity International and crypto bank Sygnum. The partnership aims to develop a project focused on bringing net asset value (NAV) data onto the blockchain. The objective of this partnership is to enhance transparency and accessibility of NAV data in tokenized assets. Chainlink stated in its press release that its technology aids in securely storing and automatically synchronizing these tokens' NAV data on the ZKsync blockchain. ZKsync is a member of the Chainlink SCALE program. This collaboration is expected to bring about significant improvements in the transparency and accessibility of NAV data in the realm of tokenized assets."
2024-07-03,Bitcoin Spot ETFs Witness Significant Net Outflows,"According to BlockBeats, data from Farside Investors on July 3rd revealed a significant net outflow from American spot ETFs. The net outflow recorded was $27.8 million. Grayscale's GBTC saw a net outflow of $32.4 million. Bitwise's BITB also experienced a net outflow, amounting to $6.8 million. However, not all Bitcoin spot ETFs experienced outflows. Fidelity's FBTC saw a net inflow of $5.4 million, ARKB had a net inflow of $2.5 million, and VanEck's HODL recorded a net inflow of $3.5 million. BlackRock's IBIT and other ETFs maintained a net of zero, indicating no significant inflows or outflows. The data suggests a mixed sentiment among investors towards spot ETFs, with some funds experiencing outflows while others saw inflows."
2024-07-03,Ethereum's Decentralized Applications See a Surge in Weekly Trading Volume,"According to Odaily, the weekly trading volume of decentralized applications (DApps) on the network has seen a significant increase of 83% compared to the previous week. However, a single application, , accounts for 59.5% of this increase. Despite the overall rise in trading volume, the number of active Ethereum users has decreased by 8%, and the total value locked (TVL) has also fallen by 17.5%. This growth contradicts the trends observed in other parts of the crypto market. Excluding the contribution from Balancer, the weekly trading volume of Ethereum DApps has actually decreased by 5%. This unusual phenomenon suggests the need for further analysis to understand the real demand behind the increase in trading volume and potential manipulative behavior."
2024-07-03,Paraguay's National Electricity Authority Raises Crypto Mining Operators' Electricity Rates By 14%,"According to Foresight News, the National Electricity Authority of Paraguay (ANDE) has increased the electricity rates for cryptocurrency mining operators by 14%. This move comes as the country grapples with the growing demand for electricity in the cryptocurrency mining sector. The increase in rates is expected to impact the operational costs of these mining operators, potentially affecting their profitability. However, the exact implications of this rate hike on the overall crypto mining industry in Paraguay remain to be seen."
2024-07-03,What Pushed Bitcoin Price Below $60K? Charts Point at Potential Mt. Gox Repayment,"According to Cointelegraph: Bitcoin ( ) has been in a downtrend since the beginning of June, struggling to gain upward momentum despite positive ETF inflows. The Bitcoin price fell below the $60,000 psychological mark on July 3, threatening to prolong the current price consolidation as Mt. Gox potentially starts releasing $9 billion worth of BTC. BTC/USD, 1-day chart. Source: CoinMarketCap Main Takeaways: 1. Price Decline: - Recent Drop: Bitcoin fell 4.2% in the 24 hours leading up to 10:33 am UTC on July 3, reaching a local bottom of $59,600. - Weekly Performance: The cryptocurrency is down 1.8% on the weekly chart, according to CoinMarketCap. - Quarterly Decline: Bitcoin has logged a nearly 18% decline during the second quarter of 2024. Bitcoin: spent volume. Source: Charles Edwards 2. Mt. Gox Repayments: - Potential Impact: The decline below $60,000 may be attributed to the potential start of Mt. Gox creditor repayments, expected in early July. - Bitcoin Transfer Volume: A significant volume of Bitcoin, last moved during the past seven to 10 years, has been transferred on-chain, suggesting Mt. Gox distributions are beginning. - Creditor Repayments: More than $9.4 billion worth of Bitcoin is owed to approximately 127,000 Mt. Gox creditors. BTC whale transfers to Binance. Source: Lookonchain 3. Whale Activity: - Large Sale: An unknown whale sold $180 million worth of Bitcoin within three minutes, contributing to the price decline. - Binance Deposit: Another whale deposited 1,723 BTC worth over $168 million to Binance, indicating a potential sell-off. BTC/USD, price and aggregated funding chart. Source: Zaheer Detailed Analysis: Price Decline and Market Sentiment: - Psychological Support: The $60,000 mark has been a critical psychological support level for Bitcoin. Falling below this level could signal a longer price correction. - Investor Expectations: Investors have been eagerly anticipating a breakout above the $70,000 mark to pave the way toward new all-time highs. Losing the $60,000 support could dampen these expectations. Mt. Gox Repayments: - Historical Context: Mt. Gox, a defunct crypto exchange, has been in the process of repaying creditors who have been waiting for over 10 years to recover their funds. - On-Chain Activity: Charles Edwards, founder of Capriole Investments, noted an enormous sum of Bitcoin moved on-chain, 10 times more than previous highs, suggesting Mt. Gox distributions are underway. - Market Impact: The release of $9 billion worth of Bitcoin could lead to significant selling pressure as creditors may cash out their decade-old profits. Whale Activity: - Large Sell Orders: The sale of $180 million worth of Bitcoin within three minutes by an unknown whale created substantial downward pressure on the price. - Binance Deposits: The transfer of 1,723 BTC to Binance by another whale suggests an intention to sell, further contributing to the price decline. Potential Absorption by ETFs - Institutional Inflows: Despite the potential selling pressure from Mt. Gox repayments, institutional inflows to U.S.-based spot Bitcoin ETFs could absorb some of the impact. Bitcoin ETFs, net flows. Source: Dune - ETF Holdings: Since their launch in January, these ETFs have amassed over $52.5 billion worth of BTC, according to Dune. Bitcoin's recent decline below the $60,000 mark can be attributed to a combination of factors, including the potential start of Mt. Gox creditor repayments and significant whale activity. The release of $9 billion worth of Bitcoin from Mt. Gox could lead to increased selling pressure, while large sell orders from whales have already contributed to the price drop. However, institutional inflows to Bitcoin ETFs may help absorb some of the selling pressure. As the market navigates these dynamics, the $60,000 level remains a critical support to watch, with potential implications for Bitcoin's price trajectory in the coming months."
2024-07-03,"Bitcoin Investors Show Fear and Pessimism as Price Drops to $60,000","According to Odaily, Glassnode has reported a certain degree of fear and pessimism among digital asset investors as the price of drops to the $60,000 region. This sentiment often arises when market volatility stagnates and tends towards silence, causing investors to become numb. Despite this, from the perspective of the MVRV ratio, the overall profitability of investors remains very strong, maintaining an average of 2 times the profit multiple, while most short-term holders are in a loss state. Many volatility indicators have significantly decreased, indicating that greater volatility is imminent."
2024-07-03,"Bitcoin Network Protocol RORO Officially Launched, Aiming to Boost SRC-20 Inscription Ecosystem","According to Odaily, the network protocol RORO, also known as Rolls Royce, has officially been launched. The protocol is dedicated to the development of the SRC-20 inscription ecosystem. The officials have reported an increasing trend in the number of users, indicating a high level of community activity. The launch of RORO marks a significant step in the evolution of the Bitcoin network. The protocol aims to enhance the SRC-20 inscription ecosystem, a crucial component of the broader cryptocurrency landscape. The SRC-20 inscription is a standard used in the creation and issuance of digital assets on various blockchain platforms. The officials have noted a positive response from the community following the launch of RORO. The number of users has been on the rise, suggesting a growing interest in the new protocol. This increase in user numbers also points to a high level of community activity, a key indicator of the protocol's potential success. The launch of RORO and its focus on the SRC-20 inscription ecosystem is expected to bring about significant changes in the network. However, the full impact of these changes will only become apparent as the protocol continues to be adopted and utilized by the community."
